N_value,P_value,K_value,Fertilizer
1.61,         2.00,         0.24,         80
2.05,         7.00,         0.48,         45
1.57,         0.00,         0.69,         60
1.51,         0.00,         0.32,         55
1.02,         0.00,         0.59,         55
2.02,         1.00,         0.66,         60
0.65,         9.00,         0.65,         90
1.81,         6.00,         0.53,         45
0.42,         4.00,         0.26,         110
1.73,         8.00,         0.71,         50
2.34,         6.00,         0.21,         30
1.52,         3.00,         0.56,         45
1.68,         9.00,         0.26,         35
1.28,         6.00,         0.63,         50
1.03,         3.00,         0.30,         45
0.37,         6.00,         0.55,         90
1.58,         6.00,         0.19,         80
1.21,         5.00,         0.63,         50
0.48,         5.00,         0.47,         90
1.19,         1.00,         0.29,         80
0.30,         2.00,         0.56,         120
1.47,         1.00,         0.60,         60
1.78,         1.00,         0.58,         55
2.39,         0.00,         0.59,         50
0.98,         7.00,         0.36,         60
1.09,         6.00,         0.69,         50
1.30,         6.00,         0.51,         45
1.04,         3.00,         0.41,         45
0.53,         7.00,         0.50,         60
1.60,         4.00,         0.57,         45
1.57,         0.00,         0.67,         60
1.99,         3.00,         0.61,         60
1.28,         2.00,         0.40,         55
1.54,         6.00,         0.32,         45
0.77,         6.00,         0.40,         60
1.55,         4.00,         0.20,         80
0.43,         2.00,         0.68,         100
0.33,         4.00,         0.55,         90
0.31,         1.00,         0.33,         120
2.11,         0.00,         0.12,         50
1.11,         5.00,         0.19,         80
0.79,         1.00,         0.51,         110
0.52,         7.00,         0.45,         60
0.92,         7.00,         0.42,         60
2.39,         1.00,         0.64,         30
1.39,         5.00,         0.30,         45
1.78,         8.00,         0.39,         40
0.69,         9.00,         0.65,         90
2.32,         1.00,         0.39,         50
0.32,         0.00,         0.26,         115
2.05,         4.00,         0.63,         100
0.71,         9.00,         0.44,         80
1.82,         9.00,         0.54,         40
1.30,         9.00,         0.20,         40
0.39,         9.00,         0.35,         100
1.76,         1.00,         0.37,         55
0.40,         3.00,         0.28,         115
0.61,         2.00,         0.69,         100
2.32,         3.00,         0.44,         50
1.23,         1.00,         0.62,         60
1.49,         2.00,         0.16,         90
0.65,         5.00,         0.31,         60
1.90,         2.00,         0.62,         60
0.90,         1.00,         0.44,         110
1.81,         1.00,         0.28,         80
0.92,         9.00,         0.24,         60
2.31,         4.00,         0.18,         50
1.58,         6.00,         0.54,         45
0.65,         1.00,         0.65,         100
0.60,         2.00,         0.43,         110
1.80,         9.00,         0.58,         40
1.20,         9.00,         0.39,         40
1.58,         8.00,         0.58,         40
0.40,         5.00,         0.29,         110
2.11,         8.00,         0.55,         20
1.68,         2.00,         0.14,         90
1.54,         2.00,         0.42,         55
1.50,         7.00,         0.63,         50
0.66,         7.00,         0.40,         60
1.50,         8.00,         0.18,         60
2.33,         2.00,         0.73,         30
2.06,         5.00,         0.21,         40
2.22,         2.00,         0.43,         50
0.85,         9.00,         0.16,         110
0.92,         5.00,         0.68,         100
1.79,         8.00,         0.62,         50
0.73,         0.00,         0.24,         115
1.20,         7.00,         0.57,         45
1.76,         4.00,         0.25,         45
0.96,         7.00,         0.16,         115
1.28,         1.00,         0.57,         55
1.78,         8.00,         0.51,         40
0.53,         9.00,         0.44,         80
2.16,         7.00,         0.59,         30
1.86,         0.00,         0.38,         55
2.09,         5.00,         0.25,         45
1.92,         6.00,         0.62,         50
0.94,         2.00,         0.38,         110
1.10,         1.00,         0.17,         90
0.39,         5.00,         0.69,         100
1.98,         4.00,         0.69,         50
1.52,         6.00,         0.31,         45
1.85,         4.00,         0.13,         80
1.74,         9.00,         0.53,         40
0.77,         2.00,         0.65,         100
2.09,         5.00,         0.58,         60
0.59,         8.00,         0.72,         90
0.59,         5.00,         0.38,         60
0.51,         5.00,         0.42,         60
0.81,         3.00,         0.60,         60
2.06,         3.00,         0.22,         100
1.78,         4.00,         0.22,         45
0.32,         2.00,         0.32,         120
2.10,         3.00,         0.49,         50
1.94,         8.00,         0.31,         40
1.79,         3.00,         0.25,         35
1.91,         8.00,         0.64,         50
2.21,         1.00,         0.46,         50
2.20,         8.00,         0.30,         20
1.27,         8.00,         0.37,         40
1.80,         0.00,         0.65,         60
0.47,         9.00,         0.49,         100
1.70,         3.00,         0.70,         50
0.87,         7.00,         0.26,         100
1.04,         9.00,         0.13,         60
1.51,         1.00,         0.44,         55
1.74,         8.00,         0.44,         40
1.25,         9.00,         0.64,         50
1.09,         4.00,         0.59,         45
1.33,         9.00,         0.48,         40
0.65,         2.00,         0.48,         110
1.39,         7.00,         0.48,         45
0.55,         6.00,         0.12,         115
1.91,         4.00,         0.72,         50
1.96,         4.00,         0.66,         50
1.90,         4.00,         0.25,         45
0.80,         7.00,         0.35,         60
0.49,         6.00,         0.64,         100
0.54,         2.00,         0.19,         120
1.29,         1.00,         0.18,         90
1.89,         9.00,         0.50,         40
1.72,         4.00,         0.51,         45
0.71,         9.00,         0.65,         90
0.54,         8.00,         0.28,         60
1.52,         6.00,         0.56,         45
1.49,         5.00,         0.51,         45
2.21,         6.00,         0.63,         30
0.78,         2.00,         0.38,         110
0.47,         8.00,         0.33,         100
1.64,         8.00,         0.33,         40
0.87,         4.00,         0.20,         60
1.88,         9.00,         0.45,         40
0.84,         9.00,         0.47,         80
0.78,         6.00,         0.16,         115
0.59,         1.00,         0.52,         110
0.37,         7.00,         0.37,         90
0.94,         4.00,         0.40,         60
1.82,         3.00,         0.53,         45
1.29,         6.00,         0.68,         50
1.23,         2.00,         0.59,         55
0.49,         5.00,         0.30,         110
0.30,         7.00,         0.26,         110
1.08,         4.00,         0.42,         45
2.17,         8.00,         0.42,         20
2.35,         1.00,         0.50,         50
1.46,         7.00,         0.26,         45
1.47,         5.00,         0.72,         50
1.33,         3.00,         0.29,         45
1.42,         8.00,         0.66,         50
1.01,         3.00,         0.23,         35
2.16,         9.00,         0.71,         20
2.09,         1.00,         0.65,         30
2.36,         2.00,         0.49,         50
1.45,         1.00,         0.28,         80
0.90,         9.00,         0.30,         80
1.04,         2.00,         0.50,         55
1.55,         9.00,         0.24,         35
0.60,         3.00,         0.39,         80
2.19,         4.00,         0.21,         30
1.37,         4.00,         0.68,         50
1.53,         0.00,         0.47,         55
0.40,         9.00,         0.64,         100
1.17,         3.00,         0.35,         40
0.61,         4.00,         0.69,         100
1.24,         6.00,         0.56,         45
2.25,         3.00,         0.43,         30
2.12,         1.00,         0.54,         50
0.73,         8.00,         0.67,         90
2.13,         2.00,         0.22,         50
2.17,         5.00,         0.49,         30
1.92,         5.00,         0.22,         45
0.32,         4.00,         0.52,         90
1.26,         7.00,         0.66,         50
1.90,         0.00,         0.37,         55
1.04,         4.00,         0.68,         50
2.31,         1.00,         0.49,         50
0.92,         5.00,         0.57,         60
0.87,         2.00,         0.39,         110
0.61,         5.00,         0.37,         60
2.37,         8.00,         0.44,         20
2.31,         8.00,         0.67,         20
1.36,         5.00,         0.59,         45
2.21,         8.00,         0.70,         20
2.07,         6.00,         0.49,         30
1.76,         0.00,         0.31,         55
2.12,         2.00,         0.65,         30
1.52,         5.00,         0.25,         45
1.92,         2.00,         0.62,         60
1.23,         7.00,         0.20,         80
0.96,         8.00,         0.23,         60
1.00,         3.00,         0.23,         60
0.98,         6.00,         0.21,         100
0.97,         3.00,         0.54,         60
1.11,         1.00,         0.46,         55
1.85,         4.00,         0.40,         45
1.05,         4.00,         0.21,         45
1.04,         6.00,         0.72,         50
0.96,         3.00,         0.47,         60
1.49,         1.00,         0.47,         55
1.62,         7.00,         0.38,         45
0.37,         0.00,         0.60,         100
2.23,         1.00,         0.31,         50
1.92,         6.00,         0.17,         80
0.92,         9.00,         0.29,         60
2.23,         5.00,         0.71,         30
1.82,         0.00,         0.62,         60
1.44,         6.00,         0.38,         45
2.29,         0.00,         0.66,         30
0.78,         1.00,         0.33,         110
1.61,         0.00,         0.27,         80
0.88,         4.00,         0.31,         60
2.34,         2.00,         0.37,         50
0.78,         3.00,         0.67,         100
1.92,         8.00,         0.43,         40
0.61,         0.00,         0.22,         115
0.42,         4.00,         0.64,         100
1.23,         5.00,         0.56,         45
1.36,         1.00,         0.59,         55
1.60,         9.00,         0.61,         50
0.35,         0.00,         0.67,         100
1.99,         3.00,         0.59,         55
0.30,         0.00,         0.47,         120
1.05,         2.00,         0.65,         60
1.18,         6.00,         0.71,         50
0.37,         6.00,         0.29,         110
0.69,         8.00,         0.58,         80
0.34,         1.00,         0.72,         100
1.66,         2.00,         0.30,         55
1.85,         0.00,         0.17,         90
1.94,         6.00,         0.23,         45
1.74,         8.00,         0.44,         40
1.97,         8.00,         0.48,         40
2.05,         3.00,         0.33,         40
1.94,         5.00,         0.44,         45
1.76,         6.00,         0.16,         80
0.91,         2.00,         0.68,         100
1.40,         5.00,         0.23,         45
2.12,         6.00,         0.60,         30
2.23,         2.00,         0.72,         30
1.92,         7.00,         0.65,         50
0.43,         5.00,         0.50,         90
0.79,         6.00,         0.57,         60
0.81,         7.00,         0.12,         115
2.11,         5.00,         0.32,         30
1.43,         7.00,         0.18,         80
0.86,         6.00,         0.28,         100
0.31,         3.00,         0.38,         90
1.52,         9.00,         0.72,         50
0.71,         2.00,         0.56,         110
1.30,         9.00,         0.66,         50
1.10,         6.00,         0.67,         50
1.02,         6.00,         0.27,         45
0.72,         5.00,         0.39,         60
1.74,         5.00,         0.27,         45
0.43,         7.00,         0.71,         100
0.53,         3.00,         0.50,         60
2.30,         5.00,         0.39,         30
0.83,         2.00,         0.23,         115
0.79,         9.00,         0.58,         80
0.90,         0.00,         0.47,         110
1.47,         8.00,         0.45,         40
0.44,         5.00,         0.17,         115
0.80,         4.00,         0.30,         60
1.72,         9.00,         0.45,         40
0.46,         7.00,         0.55,         90
0.91,         1.00,         0.51,         110
0.46,         7.00,         0.14,         115
1.30,         6.00,         0.52,         45
1.01,         4.00,         0.40,         45
2.29,         3.00,         0.71,         30
0.74,         8.00,         0.61,         90
2.35,         8.00,         0.67,         20
2.10,         3.00,         0.19,         50
0.34,         4.00,         0.49,         90
1.53,         0.00,         0.71,         60
1.54,         5.00,         0.47,         45
2.23,         6.00,         0.67,         30
1.42,         2.00,         0.58,         55
2.35,         9.00,         0.62,         20
0.62,         4.00,         0.26,         100
2.30,         2.00,         0.42,         50
2.36,         2.00,         0.68,         30
1.22,         0.00,         0.61,         60
1.48,         5.00,         0.17,         80
0.89,         3.00,         0.38,         60
1.41,         2.00,         0.58,         55
1.51,         1.00,         0.56,         55
1.63,         6.00,         0.33,         45
0.98,         7.00,         0.63,         100
1.13,         2.00,         0.37,         55
0.55,         5.00,         0.51,         60
1.92,         9.00,         0.43,         40
0.74,         0.00,         0.72,         100
0.40,         9.00,         0.22,         110
0.95,         5.00,         0.58,         60
0.82,         3.00,         0.31,         60
1.78,         27.00,         0.16,         60
0.56,         29.00,         0.43,         90
1.35,         21.00,         0.56,         40
0.47,         28.00,         0.12,         110
1.87,         25.00,         0.68,         50
2.28,         19.00,         0.31,         20
1.74,         24.00,         0.70,         50
2.25,         18.00,         0.49,         20
1.03,         19.00,         0.44,         40
1.49,         15.00,         0.73,         50
2.27,         21.00,         0.13,         60
1.61,         22.00,         0.25,         60
1.98,         20.00,         0.40,         40
1.63,         22.00,         0.52,         40
1.49,         25.00,         0.14,         60
2.38,         25.00,         0.21,         60
0.79,         16.00,         0.68,         90
0.75,         25.00,         0.47,         90
1.77,         22.00,         0.12,         60
0.51,         25.00,         0.52,         90
1.50,         15.00,         0.32,         40
1.31,         15.00,         0.18,         60
2.32,         26.00,         0.49,         25
1.06,         16.00,         0.26,         35
1.26,         18.00,         0.58,         40
1.08,         16.00,         0.40,         40
1.42,         21.00,         0.27,         60
2.39,         15.00,         0.15,         50
1.11,         29.00,         0.18,         60
0.90,         23.00,         0.17,         90
0.60,         27.00,         0.47,         90
0.84,         15.00,         0.40,         80
1.76,         17.00,         0.18,         60
1.53,         23.00,         0.44,         40
0.64,         17.00,         0.17,         110
0.59,         18.00,         0.30,         60
1.54,         26.00,         0.26,         60
2.06,         20.00,         0.63,         50
1.92,         28.00,         0.13,         60
1.19,         17.00,         0.51,         40
0.88,         24.00,         0.28,         90
1.26,         19.00,         0.38,         40
1.21,         23.00,         0.20,         60
2.30,         27.00,         0.70,         10
2.40,         17.00,         0.41,         20
1.30,         28.00,         0.13,         60
0.73,         20.00,         0.38,         80
0.65,         28.00,         0.16,         90
0.48,         27.00,         0.24,         90
1.36,         21.00,         0.65,         50
0.79,         24.00,         0.58,         90
1.39,         26.00,         0.13,         60
2.07,         16.00,         0.65,         50
2.33,         22.00,         0.60,         25
0.68,         22.00,         0.21,         90
0.72,         17.00,         0.33,         80
1.11,         28.00,         0.66,         50
0.53,         21.00,         0.63,         80
1.23,         22.00,         0.32,         40
1.48,         29.00,         0.27,         60
0.75,         25.00,         0.20,         90
0.47,         28.00,         0.66,         110
1.21,         22.00,         0.68,         50
2.21,         16.00,         0.71,         20
0.59,         19.00,         0.23,         60
1.95,         20.00,         0.61,         50
0.68,         20.00,         0.61,         90
0.61,         20.00,         0.21,         60
1.60,         24.00,         0.69,         50
1.02,         18.00,         0.13,         60
1.84,         18.00,         0.72,         50
1.58,         20.00,         0.31,         40
2.08,         28.00,         0.33,         40
0.57,         28.00,         0.16,         90
1.43,         15.00,         0.26,         35
1.68,         17.00,         0.24,         35
1.52,         23.00,         0.51,         40
1.94,         23.00,         0.59,         40
1.71,         17.00,         0.32,         40
1.83,         28.00,         0.12,         60
1.11,         24.00,         0.35,         40
0.32,         22.00,         0.65,         110
2.19,         20.00,         0.55,         20
0.59,         23.00,         0.68,         80
1.77,         18.00,         0.65,         50
1.36,         24.00,         0.52,         40
1.61,         20.00,         0.41,         40
1.99,         16.00,         0.34,         40
1.61,         21.00,         0.42,         40
2.05,         22.00,         0.42,         40
2.23,         25.00,         0.32,         25
0.33,         26.00,         0.49,         100
0.47,         16.00,         0.32,         100
1.02,         26.00,         0.66,         50
0.50,         22.00,         0.38,         100
1.79,         24.00,         0.30,         60
0.85,         19.00,         0.52,         80
1.93,         28.00,         0.49,         40
0.62,         29.00,         0.24,         90
1.59,         25.00,         0.54,         40
1.03,         15.00,         0.71,         50
1.72,         15.00,         0.59,         40
1.75,         21.00,         0.67,         50
0.95,         24.00,         0.14,         90
1.55,         15.00,         0.26,         35
0.62,         15.00,         0.30,         80
0.82,         16.00,         0.31,         80
2.10,         18.00,         0.16,         50
0.35,         28.00,         0.25,         90
0.60,         17.00,         0.62,         90
2.12,         20.00,         0.29,         30
1.08,         28.00,         0.16,         60
1.11,         29.00,         0.65,         50
0.85,         15.00,         0.41,         80
1.54,         25.00,         0.12,         60
2.37,         29.00,         0.53,         25
1.15,         17.00,         0.63,         50
1.83,         20.00,         0.66,         50
1.39,         20.00,         0.38,         40
0.76,         18.00,         0.23,         60
1.35,         23.00,         0.30,         40
0.71,         22.00,         0.46,         90
0.81,         29.00,         0.57,         90
2.32,         16.00,         0.70,         20
1.56,         24.00,         0.18,         60
0.69,         21.00,         0.48,         90
1.32,         25.00,         0.49,         40
1.27,         19.00,         0.43,         40
1.15,         22.00,         0.72,         50
1.01,         17.00,         0.29,         35
1.97,         22.00,         0.65,         50
2.21,         29.00,         0.62,         10
1.69,         25.00,         0.68,         50
2.00,         15.00,         0.63,         50
2.13,         19.00,         0.48,         20
1.54,         23.00,         0.46,         40
2.33,         25.00,         0.40,         25
1.26,         21.00,         0.17,         60
2.38,         28.00,         0.61,         10
1.43,         20.00,         0.40,         40
1.17,         27.00,         0.23,         60
2.01,         28.00,         0.19,         60
0.56,         25.00,         0.70,         80
0.52,         17.00,         0.55,         80
1.48,         29.00,         0.69,         50
1.22,         21.00,         0.31,         40
1.54,         17.00,         0.32,         40
0.77,         19.00,         0.49,         80
2.01,         22.00,         0.18,         90
1.84,         15.00,         0.56,         40
1.78,         27.00,         0.41,         40
1.19,         15.00,         0.46,         40
2.16,         21.00,         0.70,         10
2.31,         21.00,         0.73,         10
0.53,         17.00,         0.29,         60
0.80,         26.00,         0.72,         80
0.68,         29.00,         0.43,         90
1.21,         26.00,         0.67,         50
0.58,         17.00,         0.68,         90
1.52,         29.00,         0.63,         50
0.76,         25.00,         0.50,         90
1.38,         25.00,         0.51,         40
2.20,         17.00,         0.23,         30
0.36,         17.00,         0.36,         100
0.74,         23.00,         0.60,         80
1.49,         24.00,         0.45,         40
0.41,         18.00,         0.34,         100
0.99,         24.00,         0.50,         90
1.30,         18.00,         0.65,         50
1.42,         18.00,         0.49,         40
0.44,         21.00,         0.72,         110
1.26,         23.00,         0.68,         50
2.03,         15.00,         0.37,         40
1.26,         15.00,         0.50,         40
0.48,         22.00,         0.56,         100
0.34,         25.00,         0.19,         110
1.78,         23.00,         0.33,         40
0.84,         25.00,         0.42,         90
1.14,         17.00,         0.29,         35
0.91,         16.00,         0.40,         80
1.70,         15.00,         0.43,         40
1.42,         16.00,         0.52,         40
2.31,         21.00,         0.35,         25
0.89,         17.00,         0.18,         110
0.64,         24.00,         0.27,         90
1.50,         26.00,         0.47,         40
2.27,         26.00,         0.17,         60
0.74,         15.00,         0.37,         80
0.92,         18.00,         0.28,         60
1.86,         20.00,         0.44,         40
1.28,         18.00,         0.29,         35
0.76,         17.00,         0.39,         80
1.52,         22.00,         0.47,         40
2.10,         24.00,         0.28,         30
0.52,         23.00,         0.44,         90
0.43,         27.00,         0.67,         110
1.52,         16.00,         0.48,         40
1.31,         25.00,         0.31,         40
1.92,         19.00,         0.39,         40
1.47,         28.00,         0.35,         40
1.51,         23.00,         0.51,         40
1.08,         25.00,         0.56,         40
1.94,         24.00,         0.24,         60
2.09,         22.00,         0.14,         60
1.02,         26.00,         0.54,         40
1.81,         25.00,         0.17,         60
1.04,         22.00,         0.20,         60
2.01,         15.00,         0.30,         40
1.77,         27.00,         0.64,         50
1.54,         22.00,         0.26,         60
1.07,         17.00,         0.46,         40
1.84,         16.00,         0.53,         40
1.59,         17.00,         0.62,         50
0.94,         19.00,         0.37,         80
0.39,         23.00,         0.39,         100
0.85,         24.00,         0.14,         90
2.35,         19.00,         0.70,         20
1.30,         28.00,         0.56,         40
2.23,         17.00,         0.67,         20
2.05,         23.00,         0.61,         10
1.14,         24.00,         0.51,         40
1.45,         27.00,         0.17,         60
1.00,         23.00,         0.35,         90
0.66,         27.00,         0.66,         80
0.87,         22.00,         0.51,         90
1.17,         27.00,         0.32,         40
0.94,         27.00,         0.31,         90
1.20,         29.00,         0.22,         60
0.68,         19.00,         0.49,         80
1.07,         23.00,         0.14,         60
0.81,         28.00,         0.27,         90
1.43,         19.00,         0.46,         40
0.81,         26.00,         0.16,         90
0.59,         20.00,         0.72,         90
1.11,         15.00,         0.56,         40
2.06,         18.00,         0.57,         40
2.34,         29.00,         0.37,         25
1.30,         24.00,         0.40,         40
2.08,         15.00,         0.73,         50
0.40,         18.00,         0.68,         100
0.52,         16.00,         0.39,         80
2.10,         22.00,         0.21,         25
0.37,         19.00,         0.55,         100
2.09,         19.00,         0.27,         110
2.38,         29.00,         0.62,         10
1.03,         18.00,         0.46,         40
1.50,         15.00,         0.49,         40
2.14,         27.00,         0.61,         10
1.88,         20.00,         0.40,         40
0.69,         16.00,         0.68,         90
1.94,         28.00,         0.60,         50
1.21,         21.00,         0.25,         60
1.69,         16.00,         0.13,         60
1.76,         26.00,         0.72,         50
0.87,         26.00,         0.52,         90
1.38,         27.00,         0.31,         40
1.21,         20.00,         0.52,         40
1.33,         29.00,         0.38,         40
2.28,         20.00,         0.54,         20
2.14,         24.00,         0.44,         25
2.18,         18.00,         0.38,         20
1.71,         22.00,         0.16,         60
0.51,         15.00,         0.28,         60
1.54,         26.00,         0.33,         40
1.11,         16.00,         0.12,         60
1.62,         24.00,         0.55,         40
1.86,         20.00,         0.45,         40
1.54,         23.00,         0.32,         40
0.66,         22.00,         0.15,         90
2.18,         24.00,         0.26,         30
2.32,         28.00,         0.34,         25
0.65,         15.00,         0.65,         90
1.20,         22.00,         0.22,         60
0.58,         17.00,         0.35,         80
0.78,         20.00,         0.66,         90
0.36,         19.00,         0.40,         100
0.98,         22.00,         0.34,         90
1.97,         28.00,         0.68,         50
1.43,         20.00,         0.35,         40
2.19,         26.00,         0.27,         30
2.19,         22.00,         0.24,         30
0.48,         25.00,         0.18,         110
1.06,         29.00,         0.55,         40
0.85,         22.00,         0.49,         90
1.20,         18.00,         0.31,         40
2.10,         22.00,         0.72,         50
1.37,         28.00,         0.20,         50
0.32,         16.00,         0.41,         100
1.83,         28.00,         0.20,         60
0.63,         28.00,         0.71,         80
2.32,         23.00,         0.18,         60
0.74,         22.00,         0.15,         90
1.32,         16.00,         0.58,         40
1.54,         24.00,         0.14,         60
1.98,         27.00,         0.63,         50
1.73,         28.00,         0.16,         60
2.26,         21.00,         0.24,         30
1.27,         21.00,         0.36,         40
1.83,         26.00,         0.54,         40
0.88,         24.00,         0.23,         90
0.76,         20.00,         0.41,         80
0.72,         18.00,         0.31,         80
1.24,         15.00,         0.16,         60
0.85,         16.00,         0.54,         80
0.76,         24.00,         0.69,         80
0.38,         22.00,         0.37,         100
2.26,         20.00,         0.17,         50
2.09,         27.00,         0.27,         30
1.65,         20.00,         0.67,         50
0.52,         18.00,         0.62,         90
1.72,         22.00,         0.31,         40
0.96,         15.00,         0.58,         80
2.07,         24.00,         0.56,         90
2.39,         23.00,         0.48,         25
2.15,         24.00,         0.61,         10
2.01,         28.00,         0.67,         10
1.21,         20.00,         0.14,         60
1.76,         25.00,         0.49,         40
1.80,         25.00,         0.65,         50
0.77,         25.00,         0.38,         90
0.89,         16.00,         0.69,         90
1.33,         19.00,         0.34,         40
1.42,         18.00,         0.40,         40
1.93,         27.00,         0.23,         60
1.83,         18.00,         0.71,         50
2.18,         24.00,         0.36,         25
2.08,         27.00,         0.49,         25
1.85,         22.00,         0.46,         40
1.82,         19.00,         0.27,         35
2.39,         20.00,         0.34,         20
1.16,         17.00,         0.40,         40
1.80,         21.00,         0.29,         60
0.92,         18.00,         0.60,         80
0.75,         25.00,         0.63,         80
0.37,         17.00,         0.27,         110
1.56,         15.00,         0.46,         40
2.07,         20.00,         0.67,         50
1.05,         16.00,         0.50,         40
2.16,         17.00,         0.36,         20
2.38,         18.00,         0.45,         20
1.29,         21.00,         0.12,         60
0.84,         22.00,         0.69,         80
1.35,         15.00,         0.37,         40
0.35,         15.00,         0.71,         100
1.85,         29.00,         0.50,         40
1.33,         18.00,         0.65,         50
2.35,         22.00,         0.46,         25
2.07,         29.00,         0.68,         10
1.89,         16.00,         0.18,         60
1.90,         28.00,         0.26,         60
1.42,         29.00,         0.30,         40
1.21,         16.00,         0.72,         50
1.04,         22.00,         0.49,         40
1.52,         27.00,         0.15,         60
1.44,         23.00,         0.21,         60
1.78,         26.00,         0.40,         40
1.03,         19.00,         0.32,         40
1.40,         20.00,         0.57,         40
1.84,         21.00,         0.55,         40
1.85,         21.00,         0.35,         40
0.54,         25.00,         0.36,         90
0.39,         16.00,         0.54,         100
2.30,         28.00,         0.37,         25
1.98,         22.00,         0.37,         40
0.96,         23.00,         0.22,         90
1.64,         26.00,         0.52,         40
2.04,         26.00,         0.34,         40
2.17,         24.00,         0.26,         30
0.43,         27.00,         0.57,         100
1.21,         27.00,         0.50,         40
2.25,         21.00,         0.56,         25
1.94,         16.00,         0.14,         60
1.59,         26.00,         0.40,         40
1.86,         15.00,         0.13,         60
0.60,         28.00,         0.23,         90
0.92,         28.00,         0.31,         90
2.37,         17.00,         0.21,         30
2.35,         20.00,         0.19,         50
1.36,         18.00,         0.39,         40
0.69,         25.00,         0.72,         80
1.44,         18.00,         0.45,         40
0.64,         26.00,         0.70,         80
2.01,         28.00,         0.25,         90
0.87,         27.00,         0.72,         80
1.92,         26.00,         0.35,         40
0.92,         21.00,         0.19,         90
2.01,         16.00,         0.63,         90
2.17,         24.00,         0.56,         25
1.62,         27.00,         0.20,         60
2.29,         25.00,         0.63,         10
1.63,         23.00,         0.57,         40
1.46,         25.00,         0.55,         40
1.06,         23.00,         0.13,         60
0.91,         28.00,         0.24,         90
0.92,         15.00,         0.67,         90
1.76,         17.00,         0.28,         35
1.39,         27.00,         0.30,         60
0.47,         21.00,         0.43,         100
1.22,         25.00,         0.26,         60
0.92,         18.00,         0.49,         80
1.00,         24.00,         0.40,         90
0.85,         16.00,         0.36,         80
0.51,         20.00,         0.47,         80
1.58,         29.00,         0.72,         50
1.77,         23.00,         0.26,         60
0.89,         27.00,         0.30,         90
2.26,         18.00,         0.43,         20
2.34,         25.00,         0.33,         25
1.29,         17.00,         0.50,         40
1.31,         23.00,         0.43,         40
0.49,         26.00,         0.51,         100
0.93,         27.00,         0.30,         90
1.27,         17.00,         0.59,         40
2.33,         18.00,         0.23,         30
1.67,         18.00,         0.46,         40
0.54,         26.00,         0.23,         90
0.58,         26.00,         0.16,         90
1.87,         21.00,         0.63,         50
0.46,         28.00,         0.67,         110
1.83,         17.00,         0.27,         35
2.05,         29.00,         0.37,         40
0.82,         28.00,         0.37,         90
2.09,         28.00,         0.42,         90
1.34,         27.00,         0.69,         50
1.81,         19.00,         0.66,         50
1.37,         25.00,         0.21,         50
1.47,         18.00,         0.53,         40
1.84,         18.00,         0.18,         60
2.00,         26.00,         0.49,         40
2.10,         29.00,         0.16,         60
2.13,         26.00,         0.48,         25
0.69,         23.00,         0.14,         90
2.10,         23.00,         0.28,         30
1.15,         24.00,         0.13,         60
1.38,         15.00,         0.28,         35
0.31,         15.00,         0.49,         100
1.21,         26.00,         0.17,         60
0.89,         17.00,         0.51,         80
1.77,         20.00,         0.23,         35
1.24,         28.00,         0.56,         40
1.44,         21.00,         0.45,         40
0.79,         29.00,         0.21,         90
1.15,         22.00,         0.25,         60
1.49,         17.00,         0.16,         60
2.25,         22.00,         0.57,         25
1.06,         25.00,         0.15,         60
0.56,         16.00,         0.72,         90
0.79,         27.00,         0.17,         90
1.80,         24.00,         0.45,         40
1.53,         29.00,         0.61,         50
1.82,         21.00,         0.53,         40
1.58,         17.00,         0.41,         40
1.08,         19.00,         0.45,         40
2.33,         16.00,         0.55,         20
0.33,         17.00,         0.35,         100
1.75,         24.00,         0.23,         60
1.00,         19.00,         0.23,         60
1.29,         15.00,         0.41,         40
0.76,         24.00,         0.68,         80
0.52,         21.00,         0.31,         90
2.07,         24.00,         0.27,         90
1.36,         24.00,         0.53,         40
0.63,         19.00,         0.44,         80
1.75,         19.00,         0.39,         40
1.15,         22.00,         0.66,         50
1.54,         22.00,         0.32,         40
2.29,         21.00,         0.22,         30
1.39,         28.00,         0.30,         60
1.60,         15.00,         0.15,         60
0.46,         24.00,         0.43,         100
2.13,         20.00,         0.32,         20
0.98,         17.00,         0.72,         90
1.95,         26.00,         0.41,         40
2.36,         16.00,         0.67,         20
0.71,         25.00,         0.26,         90
1.03,         17.00,         0.36,         40
0.42,         17.00,         0.56,         100
1.46,         28.00,         0.39,         40
1.98,         28.00,         0.14,         60
1.71,         29.00,         0.29,         60
0.60,         24.00,         0.23,         90
2.34,         24.00,         0.68,         10
0.83,         22.00,         0.40,         90
0.60,         29.00,         0.55,         90
1.67,         28.00,         0.41,         40
1.81,         23.00,         0.62,         50
0.38,         18.00,         0.54,         100
0.53,         18.00,         0.34,         80
2.05,         23.00,         0.29,         90
1.67,         15.00,         0.17,         60
0.32,         22.00,         0.29,         90
0.88,         26.00,         0.48,         90
2.13,         21.00,         0.61,         10
0.44,         27.00,         0.60,         100
1.84,         25.00,         0.49,         40
2.26,         25.00,         0.26,         30
2.08,         16.00,         0.61,         20
0.53,         17.00,         0.27,         60
0.72,         24.00,         0.41,         90
0.99,         29.00,         0.42,         90
2.31,         18.00,         0.44,         20
2.13,         19.00,         0.50,         20
0.84,         17.00,         0.34,         80
2.22,         15.00,         0.22,         30
1.32,         25.00,         0.54,         40
0.39,         26.00,         0.69,         110
